dataset,train_size,task_type,learning_rate,base,digits,d_model,nhead,num_decoder_layers,dim_feedforward,hidden_dim,dropout,optuna_best_value,optuna_n_trials,optuna_optimization_metric,resolution_source,checkpoint_seed,checkpoint_relative_path,optuna_source_relative_path,architecture_mismatch_keys
bank32nh,5242,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.5530487527967674,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/bank32nh/bank32nh/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/bank32nh/bank32nh/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
bank8FM,5242,regression,2.3322931283542647e-05,4,6,512,4,3,1024,512,0.1,0.9611480222794775,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/bank8FM/bank8FM/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/bank8FM/bank8FM/best_params.json,
boston,323,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.8651464900256441,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/boston/boston/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/boston/boston/best_params.json,"d_model,num_decoder_layers"
chscase_foot,336,regression,2.3322931283542647e-05,4,6,512,4,3,1024,512,0.1,0.04298899965009595,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/chscase_foot/chscase_foot/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/chscase_foot/chscase_foot/best_params.json,
colleges,4520,regression,2.368863950364079e-05,2,4,128,8,5,512,256,0.1,0.00031027137480987843,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/colleges/colleges/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/colleges/colleges/best_params.json,
combined_cycle_power_plant,6123,regression,3.124922395206362e-05,8,4,256,4,3,2048,1024,0.1,0.9530487653049395,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/combined_cycle_power_plant/combined_cycle_power_plant/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/combined_cycle_power_plant/combined_cycle_power_plant/best_params.json,
communities_and_crime,1276,regression,3.854501558167248e-05,2,4,256,8,2,2048,1024,0.1,0.6442611297537197,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/communities_and_crime/communities_and_crime/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/communities_and_crime/communities_and_crime/best_params.json,
concrete_compressive_strength,659,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.8668356803913264,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/concrete_compressive_strength/concrete_compressive_strength/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/concrete_compressive_strength/concrete_compressive_strength/best_params.json,"dim_feedforward,hidden_dim,num_decoder_layers"
cpu_act,5242,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9831068234776169,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/cpu_act/cpu_act/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/cpu_act/cpu_act/best_params.json,"dim_feedforward,num_decoder_layers"
cpu_small,5242,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9742577368945672,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/cpu_small/cpu_small/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/cpu_small/cpu_small/best_params.json,"d_model,dim_feedforward,num_decoder_layers"
dataset_sales,6872,regression,6.395312995506204e-05,4,6,512,8,4,1024,512,0.1,0.5792889739613176,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/dataset_sales/dataset_sales/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/dataset_sales/dataset_sales/best_params.json,
debutanizer,1532,regression,8.850379152651271e-05,2,4,256,8,4,512,256,0.1,0.7847811059173773,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/debutanizer/debutanizer/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/debutanizer/debutanizer/best_params.json,
delta_elevators,6090,regression,7.296312489711165e-05,2,8,256,8,4,1024,128,0.1,0.6416354074553501,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/delta_elevators/delta_elevators/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/delta_elevators/delta_elevators/best_params.json,
elevators,10623,regression,8.850379152651271e-05,2,8,256,8,3,1024,1024,0.1,0.9174245104593621,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/elevators/elevators/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/elevators/elevators/best_params.json,
fifa,11560,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.658473710908908,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/fifa/fifa/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/fifa/fifa/best_params.json,"d_model,dim_feedforward,num_decoder_layers"
fried,26091,regression,1.0270665642573552e-05,8,6,256,8,4,2048,1024,0.1,0.9540475025710471,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/fried/fried/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/fried/fried/best_params.json,
garments_worker_productivity,765,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.3392545219919768,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/garments_worker_productivity/garments_worker_productivity/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/garments_worker_productivity/garments_worker_productivity/best_params.json,"dim_feedforward,num_decoder_layers"
gas_turbine_CO_and_NOx_emission,23508,regression,1.8470515432867988e-05,8,6,256,4,4,2048,1024,0.1,0.9983452448854112,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/gas_turbine_CO_and_NOx_emission/gas_turbine_CO_and_NOx_emission/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/gas_turbine_CO_and_NOx_emission/gas_turbine_CO_and_NOx_emission/best_params.json,
healthcare_insurance_expenses,856,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.8674047612240888,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/healthcare_insurance_expenses/healthcare_insurance_expenses/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/healthcare_insurance_expenses/healthcare_insurance_expenses/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
house_16H_reg,14581,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.6382915727569846,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/house_16H_reg/house_16H_reg/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/house_16H_reg/house_16H_reg/best_params.json,"dim_feedforward,num_decoder_layers"
house_8L,14581,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.671995219718887,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/house_8L/house_8L/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/house_8L/house_8L/best_params.json,"d_model,hidden_dim"
